SJNB, Test_session, Date, Age, trial, boxcount1, boxcount2, RT 
002,2,20-Feb-2019 13:55,2,1,1,0,819
002,2,20-Feb-2019 13:55,2,2,1,1,872
002,2,20-Feb-2019 13:55,2,3,2,1,703
002,2,20-Feb-2019 13:55,2,4,2,2,794
002,2,20-Feb-2019 13:55,2,5,3,2,724
002,2,20-Feb-2019 13:55,2,6,4,2,1049
002,2,20-Feb-2019 14:35,2,1,1,0,7433
002,2,20-Feb-2019 14:35,2,2,1,0,7433
002,2,20-Feb-2019 14:35,2,3,1,0,7433
002,2,20-Feb-2019 14:35,2,4,1,0,7433
002,2,20-Feb-2019 14:35,2,5,1,0,7433
002,2,20-Feb-2019 14:35,2,6,1,0,7433
