SJNB, Test_session, Date, Age, trial, Stimuli_type, key, timage, tkey, RT, Timing, Scale, Att_RT, Att_x, Att_y 
002,2,10-Dec-2018,2,1,1,DownArrow,1.643297e+06,1.643299e+06,1627,Delayed,999.0,999,999,999
002,2,10-Dec-2018,2,2,1,LeftArrow,1.643303e+06,1.643303e+06,906,Immediate,999.0,999,999,999
002,2,10-Dec-2018,2,3,1,DownArrow,1.643307e+06,1.643307e+06,589,Delayed,999.0,999,999,999
002,2,10-Dec-2018,2,4,1,DownArrow,1.643311e+06,1.643311e+06,468,Delayed,999.0,999,999,999
002,2,10-Dec-2018,2,5,1,DownArrow,1.643315e+06,1.643315e+06,270,Delayed,999.0,999,999,999
002,2,10-Dec-2018,2,6,1,DownArrow,1.643319e+06,1.643321e+06,2108,Delayed,999.0,999,999,999
002,2,10-Dec-2018,2,7,2,DownArrow,1.643324e+06,1.643326e+06,1945,Delayed,999.0,999,999,999
002,2,10-Dec-2018,2,8,2,DownArrow,1.643330e+06,1.643331e+06,1237,Delayed,999.0,999,999,999
002,2,10-Dec-2018,2,9,2,DownArrow,1.643334e+06,1.643335e+06,530,Delayed,999.0,999,999,999
002,2,10-Dec-2018,2,10,2,DownArrow,1.643338e+06,1.643339e+06,467,Delayed,999.0,999,999,999
002,2,10-Dec-2018,2,11,2,DownArrow,1.643342e+06,1.643343e+06,449,Delayed,999.0,999,999,999
002,2,10-Dec-2018,2,12,2,DownArrow,1.643346e+06,1.643348e+06,1607,Delayed,999.0,999,999,999
002,2,10-Dec-2018,2,13,3,DownArrow,1.643351e+06,1.643351e+06,441,Delayed,999.0,999,999,999
002,2,10-Dec-2018,2,14,3,DownArrow,1.643355e+06,1.643355e+06,412,Delayed,999.0,999,999,999
002,2,10-Dec-2018,2,15,3,DownArrow,1.643359e+06,1.643360e+06,764,Delayed,999.0,999,999,999
002,2,10-Dec-2018,2,16,3,DownArrow,1.643363e+06,1.643363e+06,214,Delayed,999.0,999,999,999
002,2,10-Dec-2018,2,17,3,DownArrow,1.643367e+06,1.643369e+06,2768,Delayed,999.0,999,999,999
002,2,10-Dec-2018,2,18,3,DownArrow,1.643373e+06,1.643433e+06,0,Delayed,999.0,999,999,999
002,2,10-Dec-2018,2,1,4,space,1.643536e+06,1.643544e+06,1728,None,5.0,3911,490,510
002,2,10-Dec-2018,2,2,4,space,1.643545e+06,1.643792e+06,2326,None,-1.0,242132,-85,-65
002,2,10-Dec-2018,2,3,4,ESCAPE,1.643793e+06,1.643798e+06,1053,None,0.0,1550,-10,10
